,0,1,2
0,Star Command,0.5922276452902132,"a bunch of young and impulsive space cadets make their first real flight in space and realize that the attack they suffered wasn't a training mission. they face the enemy alone and have the chance to save the world, and maybe to prevent the war? can the cadets conquer the more experienced, stronger and much more evil enemy? (written by peter 'grin' gervai  )"
1,Space Station 3D,0.24418958847522404,"some 220 miles above earth lies the international space station, a one-of-a-kind outer space laboratory that 16 nations came together to build. get a behind-the-scenes look at the making of this extraordinary structure in this spectacular imax film. viewers will blast off from florida's kennedy space center and the baikonur cosmodrome in russia for this incredible journey -- imax's first-ever space film. tom cruise narrates."
2,Space Chimps,0.22847691462537942,three chimps are sent into space to explore the possibility of alien life when an unmanned space shuttle crash lands on an uncharted planet.
3,Gattaca,0.1901632257588752,"in a future society in the era of indefinite eugenics, humans are set on a life course depending on their dna. young vincent freeman is born with a condition that would prevent him from space travel, yet is determined to infiltrate the gattaca space program."
4,The Right Stuff,0.1875757508883088,"a chronicle of the original mercury astronauts in the formation of america's space program: alan shepherd, the first american in space; gus grissom, the benighted astronaut for whom nothing works out as planned; john glenn, the straight-arrow 'boy scout' of the bunch who was the first american to orbit the earth; and the remaining pilots: deke slayton, scott carpenter and wally schirra."
5,Flash Gordon in Space,0.1792322817416727,"1967 is the year of ""baytekin fezada çarpışanlar / flash gordon - battle in space"" in which director şinasi özonuk tries hardly,despite a very low budget,to come up with a space opera."
6,Lifeforce,0.17650949319756065,a space shuttle mission investigating halley's comet brings back a malevolent race of space vampires who transform most of london's population into zombies. the only survivor of the expedition and british authorities attempt to capture a mysterious but beautiful alien woman who appears responsible.
7,Iron Sky,0.164559086135965,"in the last moments of world war ii, a secret nazi space program evaded destruction by fleeing to the dark side of the moon. during 70 years of utter secrecy, the nazis construct a gigantic space fortress with a massive armada of flying saucers."
8,Zathura: A Space Adventure,0.15399615363747646,"after their father is called into work, two young boys, walter and danny, are left in the care of their teenage sister, lisa, and told they must stay inside. walter and danny, who anticipate a boring day, are shocked when they begin playing zathura, a space-themed board game, which they realize has mystical powers when their house is shot into space. with the help of an astronaut, the boys attempt to return home."
9,Capricorn One,0.15212605264300513,"in order to protect the reputation of the american space program, a team of scientists stages a phony mars landing. willingly participating in the deception are a trio of well-meaning astronauts, who become liabilities when their space capsule is reported lost on re-entry. now, with the help of a crusading reporter, they must battle a sinister conspiracy that will stop at nothing to keep the truth."
